word	pos	pron	gw	freq	def	example
above	adverb ; preposition	/əˈbʌv/	HIGHER POSITION	A1	in or to a higher position than something else	There's a mirror above the sink.|Her name comes above mine on the list.
ad	noun [C]	/æd/		A1	an advertisement	TV/newspaper ads|a pop-up ad|I saw an ad for a part-time job that you might like.
address	noun [C]		BUILDING DETAILS	A1	the details of where a building is, including the building number, street name, city or town, etc.	her business/home address|a change of address
address	noun [C]		ELECTRONIC	A1	a series of letters, numbers or punctuation marks referring to a Web site or e-mail destination	Do you have their Web address?
adult	noun [C]	/əˈdʌlt/		A1	a person or animal that has grown to full size and strength	Adults pay an admission charge but children get in free.
after	preposition	/ˈæf.tər/	TIME/EVENT	A1	when a time or event has happened	Do you want to go for a walk after breakfast?|We had a chat after the meeting.|Let's get the shopping done. After that, we can stop for coffee.|After a while, I began to like him.|His birthday is exactly a week after mine.|It was so boring, I left after ten minutes.
afternoon	noun [C or U]	/ˌæf.tərˈnuːn/		A1	the time between the middle of the day and the evening	It was a sunny afternoon.|She works three afternoons a week at the library.|Let's go to the park this afternoon.|She's coming by on Wednesday afternoon.|He's been in a bad mood all afternoon.
again	adverb	/əˈgen/	ONE MORE TIME	A1	once more	Could you spell your name again, please?|Throw it away and start again.
age	noun	/eɪdʒ/	HOW OLD	A1	the number of years that someone has lived, or that something has existed	I'd guess she's about my age.|We're the same age.|She was 74 years of age when she wrote her first novel.|He left home at the age of 16.|The show appeals to people of all ages.
all	determiner ; pronoun	/ɔːl/	EVERY ONE	A1	every person or thing in a group	I've seen all of his movies.|All of us had left by midnight.|She's got four children, all under the age of five.|"Which of his books did you like best?" "I loved them all."
all	determiner ; pronoun	/ɔːl/	WHOLE TIME	A1	the whole of a period of time	I've been studying all day.|It rained all week.|I've been waiting all afternoon for him to call.
all right	adjective [never before noun] ; adverb	/ɔːlˈrɑɪt/	WITHOUT PROBLEMS	A1	happening successfully or without problems	Did the interview go all right?|Did he do all right on his exam?|Did you get home all right last night?
all right	exclamation	/ɔːlˈrɑɪt/		A1	used to agree to a suggestion or request	"How about going out for dinner?" "All right."|"Can we leave at six?" "All right."
also	adverb	/ˈɔːl.soʊ/		A1	in addition	She's a photographer and also writes books.|I'm cold, and I'm also hungry and tired.
always	adverb	/ˈɔːl.weɪz/	EVERY TIME	A1	every time, or at all times	I always walk to work.
an	determiner	/æn/		A1	used instead of "a" when the following word begins with a vowel sound	an easy question|an interesting story|an orange|an honest person
and	conjunction	/ænd/	ALSO	A1	used to join two words, phrases, parts of sentences or related statements together	Ann and Jim|knives and forks|We kissed and hugged each other.|Straighten up your room. And don't forget to make your bed!
and	conjunction	/ænd/	AFTER	A1	used to say that one thing happens after another thing	I got dressed and had my breakfast.
and	conjunction	/ænd/	NUMBERS	A1	used when saying or adding numbers	It cost a hundred and twenty dollars.|Two and three equals five.
animal	noun [C]	/ˈæn.ə.məl/	NOT A HUMAN	A1	something that lives and moves but is not a human, bird, fish or insect	wild/domestic animals|She's a real animal lover.
answer	noun	/ˈæn.sər/	REACTION	A1	what you say or write back to someone who has asked you a question or spoken to you	I asked him if he was going but I didn't hear his answer.|Please give me your answer by next week.
answer	verb	/ˈæn.sər/	REACT	A1	to speak or write back to someone who has asked you a question	You haven't answered my question.|I wrote asking whether he'd be coming to the party but he hasn't answered yet.|She answered that she wouldn't be able to come before nine o'clock.
any	determiner ; pronoun	/ˈen.i/	SOME	A1	used in questions and negatives to mean some	"Is there any more soup?" "No, I'm afraid there isn't any left."|I haven't seen any of his films.|I asked Andrew for some change but he hasn't got any.
any	determiner ; pronoun	/ˈen.i/	NOT IMPORTANT WHICH	A1	one of or each of a particular kind of person or thing when it is not important which	"Which of these cakes may I eat?" "Any."|Any of you should be able to answer this question.|Any advice that you can give me would be greatly appreciated.|We should hear from him any minute/day/time now.|There were a lot of computers at the store, any (one) of which would have been fine for me.
anything	pronoun	/ˈen.iːˌθɪŋ/	IN QUESTIONS/NEGATIVES	A1	used in questions or negatives to mean "something"	Is there anything I can do to help?|I didn't eat anything.|Did you notice anything strange about him?|Was there anything else you wanted to say?
anything	pronoun	/ˈen.iːˌθɪŋ/	NO MATTER WHICH	A1	any object, event, situation, etc.	Tom will eat anything!|We can do anything you like.
apple	noun [C or U]	/ˈæp.əl/		A1	a hard, round fruit that has a green or red skin and is white inside	to peel an apple|apple pie/sauce|an apple tree
arm	noun [C]	/ɑrm/	BODY	A1	the long part at each side of the human body, ending in a hand	My arms ache from carrying this bag.|She put/threw her arms around me, and hugged me to her.|He took/held her in his arms.
as	adverb; preposition	/æz/	JOB	A1	used to talk about the job someone has	She works as a waitress.
as	adverb; preposition	/æz/	as well	A1	also	Are you going to invite Steve as well?
ask	verb	/æsk/	QUESTION	A1	to say a question to someone which you want them to answer	She asked me a question.|Can I ask you something?|She asked me about my parents.|I asked why the plane was so late.|"Why is Sara crying?" he asked.
at	preposition	/æt/	PLACE	A1	used to show the place or position of something	She's at home/work.|We met at the station.|We'll meet you at the entrance.|She's sitting at the table in the corner.|She was standing at the top of the stairs.|There's someone at the door.|We spent the afternoon at a tennis match.
at	preposition	/æt/	TIME	A1	used to show the time something happens	There's a meeting at 2:30 this afternoon.|Are you free at lunchtime?|In theory, women can still have children at the age of 50.|I'm busy at the moment - can you call back later?|At no point did the company do anything illegal.
at	preposition	/æt/	DIRECTION	A1	toward or in the direction of	She smiled at me.|They waved at us as we drove by.|"Look at me! Look at me!" called the little girl.
at	preposition	/æt/	E-MAIL ADDRESS	A1	the @ symbol, used in e-mail addresses to separate the name of a person, department, etc. from the name of the company	dictionary at cambridge dot org
baby	noun [C]	/ˈbeɪ.bi/	CHILD	A1	a very young child	a baby boy/girl|baby clothes|Sandra had a baby on May 29th.
back	adverb	/bæk/	RETURNING	A1	where someone or something was before	When do you go back to school?|I put the can back in the cabinet.
bad	adjective	/bæd/	UNPLEASANT	A1	unpleasant; causing difficulties or harm	Our vacation was ruined by bad weather.|We've just had some very bad news.|Watch out - he's in a bad mood.|The traffic was so bad that I just came back home.
bag	noun [C]	/bæg/		A1	a container made of paper, plastic, leather, etc., used for carrying things	a paper/plastic bag|a bag of apples/nuts|He packed his bags and left.
ball	noun [C]	/bɔːl/	ROUND OBJECT	A1	a round object that you throw, kick, or hit in a game, or something with this shape	a beach/golf/tennis ball|She threw a ball at me and I caught it.|Just try to concentrate on hitting/kicking the ball.|a ball of wool|The kitten curled itself into a ball.
banana	noun [C or U]	/bəˈnæn.ə/		A1	a long curved fruit with a yellow skin	a bunch of bananas|banana milkshake
band	noun [C]	/bænd/		A1	a group of musicians who play modern music together	a jazz/rock band|The Beatles are probably the most famous band in the world.
bank	noun [C]	/bæŋk/	MONEY	A1	an organization or place where you can borrow money, save money, etc.	I need to go to the bank at lunchtime.|I had to take out a bank loan to start my own business.
baseball	noun [C or U]	/ˈbeɪs.bɔːl/		A1	(the ball used in) a game played by two teams of nine players, in which a player hits a ball with a bat and tries to run around the four corners of a large square area of the field before the other team returns the ball	Jake never played baseball like the other kids.|He had a baseball and a couple of bats in his sports bag.
basketball	noun [C or U]	/ˈbæs.kɪtˌbɔːl/		A1	a game in which two teams try to score points by throwing a ball through a high net, or the ball used in this game	He plays a lot of basketball.
bat	noun [C]	/bæt/	STICK	A1	a specially shaped piece of wood used for hitting the ball in many games	a baseball/cricket bat
bath	noun [C]	/bæθ/		A1	when you wash your body in a bathtub	I took a bath this morning.|bath oil
bathroom	noun [C]	/ˈbæθ.ruːm/	ROOM	A1	a room with a sink, a toilet, and often a bathtub and/or shower	The bathroom is right down the hall, on your left.
be	verb	/biː/	I am Spanish/a teacher, etc.	A1	used to give information about someone or something	I'm tired.|I'm very well, thank you.|Hi, I'm Sylvie.|He's tall.|They aren't German, they're from Austria.|He was six at the time.|They were late.|The film was great.|Her house isn't very big.
be	verb	/biː/	there is/there are/there was, etc.	A1	used to say that someone or something exists	There are six Italians in the class.|There are three bedrooms.|There's a store at the end of the street.|There was a good show on TV last night.|Is there a problem?
be	verb	/biː/	POSITION	A1	used to say or ask where someone or something is	He's in the garden.|Are you there?|I'm here!|The plates are in this cabinet.|Where is that letter?
beach	noun [C]	/biːtʃ/		A1	an area of sand or small stones next to the ocean or a lake	We spent the day at the beach.|beach chairs|a beach towel
bean	noun [C]	/biːn/		A1	a seed, or the pod containing seeds, of various climbing plants, eaten as a vegetable	pinto/black/kidney beans|a lima/string bean|baked/refried beans|Coffee beans are the beanlike seeds of the coffee plant.
beard	noun [C]	/bɪrd/		A1	the hair that grows on a man's chin	a long white beard|He's growing a beard.|He shaved off his beard but kept his moustache.
beautiful	adjective	/ˈbjuːt̬.ɪ.fəl/	ATTRACTIVE	A1	very attractive	a beautiful woman|beautiful scenery|She was wearing a beautiful dress.
beautiful	adjective	/ˈbjuːt̬.ɪ.fəl/	PLEASANT	A1	very pleasant	a beautiful piece of music|beautiful weather
because	conjunction	/bɪˈkɑz/		A1	used to give a reason for something	We can't go to Julia's party because we're going away that weekend.|"Why did you do it?" "Because Carlos told me to."|Just because I'm lending you my dress for tonight doesn't mean you can borrow it whenever you want to.
bed	noun	/bed/	FOR SLEEP	A1	a piece of furniture that you sleep on	He lived in a room with only two chairs, a bed and a table.|He likes to have breakfast in bed on a Saturday morning.|She didn't get out of bed till lunchtime today.|I'm exhausted - I'm going to bed.
bedroom	noun [C]	/ˈbed.ruːm/		A1	a room used for sleeping in	Our house has three bedrooms.
beer	noun [C or U]	/bɪr/		A1	an alcoholic drink made from grain	a bottle of beer|Would you like another beer?|This beer is brewed in Mexico.
before	preposition	/bəˈfɔːr/	EARLIER	A1	earlier than something or someone	She arrived before me.|I want to be home before dark.|You should always wash your hands before meals.|Think hard before accepting the offer.
begin	verb	/bɪˈgɪn/	START TO HAPPEN	A1	to start to happen	What time does the concert begin?|The film they want to watch begins at seven.
behind	preposition	/bəˈhɑɪnd/	BACK	A1	at or to the back of someone or something	Close the door behind you.|Their office is behind the main building.
below	adverb ; preposition	/bəˈloʊ/	POSITION	A1	in a lower position than someone or something else	From the top of the skyscraper the cars below us looked like insects.|Send your answers to the address below.
best	adjective	/best/	BETTER THAN ALL	A1	(superlative of good) better than any other	She was my best friend.|This is the best meal I've ever had.|He's one of our best students.|Are you sure this is the best way of doing it?|Your parents only want what is best for you.
best	adverb	/best/	MOST	A1	(superlative of well) most, or more than any other	Which of the songs did you like best?|They were the best-dressed couple at the party.
better	adjective	/ˈbet̬.ər/	HIGHER STANDARD	A1	(comparative of good) of a higher quality, more effective, or more enjoyable than something or someone else	She found a better job.|The movie was better than I expected.|She is a lot better at tennis than I am.|If you cook it this way it's much better.|Relations between the two countries have never been better.|He stood near the front to get a better view.|The situation is getting better all the time.|The longer you keep this wine, the better it tastes.|The bed was hard, but it was better than nothing.
better	adjective	/ˈbet̬.ər/	HEALTHY	A1	healthy, or less ill than before	Do you feel better now?|Is your stomach ache better?|I hope you get better soon.
between	preposition	/bəˈtwiːn/	SPACE	A1	in the space that separates two places, people or objects	The town lies halfway between Rome and Florence.|Standing between the two adults was a small child.|A narrow alley ran between the two houses.|She squeezed in between her sisters.
between	preposition	/bəˈtwiːn/	TIME	A1	in the period of time that separates two different events or times	You shouldn't eat between meals.|There is a ten minute break between classes.|The ticket office closes between 12:30 and 1:30 for lunch hour.
between	preposition	/bəˈtwiːn/	INVOLVE	A1	involving two or more groups of people	Tonight's game is between the New Orleans Saints and the Los Angeles Rams.
big	adjective	/bɪg/	SIZE	A1	large in size or amount	He's a big man.|Could I try these shoes in a bigger size?|I had a great big piece of chocolate cake.|A thousand people took part in the county's biggest ever bike race.
bike	noun [C]	/bɑɪk/	BICYCLE	A1	a bicycle	He was on his bike.|My youngest child is learning to ride a bike.|We could go bike riding / for a bike ride.
bird	noun [C]	/bɜrd/		A1	an animal that has wings and feathers, and is usually able to fly	caged/wild birds|sea birds|Most birds lay eggs in the spring.|We watched a flock of birds fly over the field.
birthday	noun [C]	/ˈbɜrθ.deɪ/		A1	the day on which someone was born, or the same date each year	Happy birthday!|She is celebrating her 70th birthday.|Is she having a birthday party?|I'm making her a birthday cake.
black	adjective	/blæk/	COLOR	A1	being the darkest color there is, like the color of coal or of a very dark night	black shoes
blouse	noun [C]	/blɑʊz/		A1	a piece of clothing for women that is like a shirt	sleeveless/long-sleeved blouses|a silk/cotton blouse|I usually wear slacks or a skirt and blouse to the office.
blue	adjective	/bluː/	COLOR	A1	being the same color as the sky when there are no clouds	a dark/light/pale blue jacket|She has big blue eyes.
board	noun	/bɔːrd/	CLASSROOM	A1	a surface on the wall of a classroom that a teacher writes on	a white board|Copy the sentences from the board.
boat	noun [C]	/boʊt/		A1	a vehicle for traveling on water	a fishing boat|Are you going by boat?
body	noun [C]	/ˈbɑd.i/	PERSON	A1	the whole physical structure that forms a person or animal	A good diet and plenty of exercise will help you to keep your body healthy.|She rubbed a sunscreen lotion over her entire body.
book	noun [C]	/bʊk/	FOR READING	A1	a set of attached pages in a cover, with words or pictures that tell a story or provide information	I've read all his books.|She wrote a book about the island's history.|I bought a book about Quebec.|an art/picture/children's/reference book
bookcase	noun [C]	/ˈbʊk.keɪs/		A1	a piece of furniture with shelves for putting books on	The gardening books are on/in that bookcase on the left.
bookstore	noun [C]	/ˈbʊk.stɔːr/		A1	a store where books are sold	We are going to the bookstore on Nineteenth Street to hear an author speak about his latest book.
boot	noun [C]	/buːt/		A1	a strong shoe that covers your foot and part of your leg	a pair of boots|work/hiking/snow boots|cowboy boots
boring	adjective	/ˈbɔːr.ɪŋ/		A1	not interesting or exciting	a boring job/lecture|The film was so boring I fell asleep.
both	determiner ; pronoun	/boʊθ/		A1	used to talk about two people or things	Both my parents are teachers.|We both had our hair cut today.|Both men and women have complained about the advertisement.|Both Mike and Jim are redheads/Mike and Jim are both redheads.|Are both of us invited, or just you?|The problem with both of these proposals is that they are so impractical.|I loved them both/I loved both of them.|They have two grown children, both of whom live in California.|I think it's important to listen to both sides of the argument.
bottom	noun	/ˈbɑt̬.əm/	LOWEST PART	A1	the lowest part of something	He stood at the bottom of the stairs and called up to me.|Extra information can be found at the bottom of the page.
box	noun [C]	/bɑks/	CONTAINER	A1	a square or rectangular container	a cardboard box|a box of chocolates
boy	noun [C]	/bɔɪ/		A1	a male child or young man	a teenage boy|You've been a very naughty boy!|All right, boys and girls, quiet now!
bread	noun [U]	/bred/		A1	a basic food made by mixing flour, water and sometimes yeast	a piece/slice of bread|a loaf of bread|white/wheat/rye bread|sliced bread|fresh/stale bread|Do you bake your own bread?
breakfast	noun [C or U]	/ˈbrek.fəst/		A1	the food you eat in the morning after you wake up	What do you want for breakfast?|Have you had breakfast?|Breakfast is served in the dining room between 8:30 and 10.
brother	noun [C]	/ˈbrʌð.ər/		A1	a man or boy with the same parents as another person	Do you have any brothers and sisters?|Johnny is my younger/older/big/baby/little brother.
brown	adjective	/brɑʊn/		A1	being the color of chocolate or soil	dark/light brown|Both my parents have curly brown hair.
bus	noun [C]	/bʌs/		A1	a large vehicle in which people are driven from one place to another	You should take the bus if you want to see the sights.|I decided to go by bus.
business	noun	/ˈbɪz.nəs/	SELLING	A1	the activity of buying and selling goods and services	He's in business with his cousin.|We decided to go into business together.|Our firm does a lot of business with overseas customers.|This new tax will put a lot of small companies out of business.|a business appointment/call/meeting
busy	adjective	/ˈbɪz.i/	PERSON	A1	If you are busy, you are working hard, or giving your attention to a particular thing	Mom was busy in the kitchen.|The kids are busy with their homework.|She's busy writing out the wedding invitations.|I've got plenty of jobs to keep you busy.|He was too busy talking to notice us come in.
busy	adjective	/ˈbɪz.i/	PLACE	A1	A busy place is full of activity or people.	a busy restaurant|Their house is on a very busy street.
but	conjunction	/bʌt/		A1	used to introduce an added statement, usually something that is different from what you have said before	You can invite Keith to the party, but please don't ask that friend of his.|She's very hard-working but not very imaginative.|She's not only a painter but also a writer.|I think it's true, but then, I'm no expert.
butter	noun [U]	/ˈbʌt̬.ər/		A1	a pale yellow food made from cream that you put on bread or use in cooking	Have some bread and butter.|a butter dish
buy	verb [T]	/bɑɪ/		A1	to get something by paying money for it	Eventually she had saved enough money to buy a small car.|They bought the house for $240,000.|He's buying flowers for his mother.|I bought my camera from a friend of mine.
bye	exclamation	/bɑɪ/		A1	goodbye	Bye! We'll see you soon.|Are you going? Bye now.
café	noun [C]	/kæˈfeɪ/		A1	a small restaurant where you can buy drinks and light meals	There's a little café on the corner that serves very good coffee.
cake	noun [C or U]	/keɪk/	FOOD	A1	a sweet food made from flour, butter, sugar and eggs, mixed together and baked	chocolate cake|a birthday cake|Would you like a piece of/a slice of cake?|He made/baked a delicious cake.
call	verb	/kɔːl/	be called sth	A1	to have a particular name	a boy called Adam|Their latest album is called "In Rainbows."
camera	noun [C]	/ˈkæm.rə/		A1	a device for taking photographs or making films or television programs	I forgot to take my camera with me to Portugal, so I couldn't take any photos.|Television camera crews broadcast the event all round the world.
can	modal verb	/kæn/	ABILITY	A1	to be able to	Can you drive?|She can speak four languages.|I can't read that sign over there - what does it say?
can	modal verb	/kæn/	REQUEST	A1	used to request something	If you see Adrian, can you tell him I'll be in London next weekend?|Can I have a glass of water?
can	modal verb	/kæn/	OFFER	A1	used in polite offers of help	Can I help you with those bags?
can	modal verb	/kæn/	POSSIBILITY	A1	used to talk about what is possible	You can get stamps at the post office.
cannot	modal verb	/ˈkæn.ɑt/		A1	the negative form of "can"	I cannot predict what will happen next year.
car	noun [C]	/kɑr/	ROAD	A1	a road vehicle with an engine, four wheels, and seats for a small number of people	They don't have a car.|Where did you park your car?|It's quicker by car.|a car crash
carry	verb [T]	/ˈkær.i/	HOLD	A1	to hold something or someone with your hands, arms, or on your back and take them from one place to another	Let me carry your bag for you.|She was carrying a small child.
cat	noun [C]	/kæt/		A1	a small animal with fur, four legs and a tail that is kept as a pet	I saw that orange cat today.
catch	verb	/kætʃ/	TAKE HOLD	A1	to take hold of something, especially something that is moving through the air	Try to catch the ball.|She fell backwards but he caught her in his arms.
catch	verb	/kætʃ/	TRAVEL	A1	to get on a bus, train, etc. in order to travel somewhere	He catches the 8:30 train into the city every morning.|I got there too late to catch the last bus home.
cell phone	noun [C]	/ˈsel.foʊn/		A1	a telephone that you can carry everywhere with you	Rory is always on his cell phone, either talking or texting.
chair	noun [C]	/tʃer/		A1	a seat for one person, that has a back, usually four legs, and sometimes two arms	He sat back in his chair.
change	verb	/tʃeɪndʒ/	START SOMETHING NEW	A1	to stop having or using one thing, and start having or using another	She's just changed jobs.|I hope they can change the time of my interview.|The doctor has recommended changing my diet.
cheap	adjective	/tʃiːp/		A1	costing little money or less than is usual or expected	I got a cheap flight at the last minute.|Food is usually cheaper in supermarkets.|Children and the elderly can get to cheap tickets.|Her new car gets 40 miles per gallon, so its pretty cheap to operate.
check	verb	/tʃek/	MARK	A1	to put a mark by something written to show it is correct or has been done	Check the words you hear on the recording.
cheese	noun [C or U]	/tʃiːz/		A1	a food made from milk, which can either be firm or soft and is usually yellow or white in color	a slice of cheese|goat's cheese|I like soft French cheeses such as Brie and Camembert.|I prefer hard cheeses, like Cheddar.|cheese and crackers
child	noun [C]	/tʃɑɪld/		A1	a boy or girl who is not yet an adult, or a son or daughter of any age	an eight-year-old child|As a child I didn't eat vegetables.|A small group of children waited outside the door.|Both her children are now married with children of their own.|Jan is married with three young children.
chocolate	noun [C or U]	/ˈtʃɑk.lət/	FOOD	A1	a sweet, usually brown, food that is prepared and sold in a block, or a small sweet made from this	a bar of chocolate|chocolate biscuits|milk/dark/white chocolate|I took her a box of chocolates.
choose	verb [I or T]	/tʃuːz/		A1	to decide what you want from two or more things or possibilities	Danny, come here and choose your ice cream.|I had to choose between fish or lamb.|There were so many colors to choose from.|It's difficult choosing where to live.|I've chosen a present for Luis.|He's been chosen as the team's new captain.|The company's directors chose Emma to be the new production manager.|Katie chose to stay away from work that day.
city	noun [C]	/ˈsɪt̬.i/		A1	a large town	the city of Boston|There's a huge park right in the center of the city.|Wellington is the capital city of New Zealand.
class	noun	/klæs/	TEACHING GROUP	A1	a group of students who have lessons together	Which class are you in this year?|She gave the whole class extra homework for a week.|My class was really noisy this morning.|Okay, class, settle down and open your books.
class	noun	/klæs/	LESSON	A1	a period of time in which students are taught something	My last class ends at 4 o'clock.|I got in trouble for talking in class.|Who takes/teaches your environmental studies class?|I missed my aerobics class yesterday.
classroom	noun [C]	/ˈklæs.ruːm/		A1	a room in a school or college where groups of students are taught	The classrooms are large and have big windows.
clean	adjective	/kliːn/	NOT DIRTY	A1	not dirty	a clean white shirt|clean air/water|Make sure your hands are clean before you sit down to dinner.
clean	verb [T]	/kliːn/	REMOVE DIRT	A1	to remove dirt from something	I'm going to clean the windows this morning.|You should clean that scrape so it doesn't get infected.|He asked her to help him clean out the cupboards.
clock	noun [C]	/klɑk/		A1	a piece of equipment that shows you what time it is, usually in a house or on a building and not worn by a person	I could hear the clock ticking.|The town hall clock says 9 o'clock.|I think the kitchen clock is fast/slow.|The clock began to strike twelve.|Did you set the alarm clock?
close	verb		DOOR/WINDOW	A1	If something closes, it moves so that it is not open, and if you close something, you make it move so that it is not open.	Could you close the door/window please?|Close your eyes - I've got a surprise for you.
